user,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_20,feature_21,feature_22,feature_23,feature_24,item_id,response,set
453,0.0,6.0,2.0,4.0,1.0,2.0,2.0,0.0,3.0,4.0,2.0,0.0,1.0,0.0,2.0,5.0,5.0,3.0,2.0,0.0,1.0,3.0,1.0,1.0,1.0,item_0,0,train
901,1.0,1.0,1.0,2.0,5.0,5.0,4.0,4.0,2.0,2.0,0.0,1.0,1.0,1.0,0.0,2.0,5.0,2.0,0.0,3.0,1.0,5.0,2.0,4.0,0.0,item_0,0,train
460,2.0,1.0,2.0,1.0,2.0,2.0,3.0,2.0,3.0,0.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,4.0,2.0,2.0,2.0,1.0,item_0,0,train
827,2.0,1.0,2.0,1.0,3.0,3.0,2.0,1.0,2.0,2.0,0.0,1.0,2.0,2.0,2.0,1.0,1.0,0.0,2.0,3.0,3.0,1.0,0.0,0.0,0.0,item_0,0,train
786,4.0,4.0,5.0,4.0,1.0,3.0,3.0,3.0,1.0,2.0,0.0,4.0,3.0,2.0,0.0,0.0,2.0,4.0,4.0,1.0,2.0,1.0,2.0,4.0,1.0,item_0,0,train
210,1.0,2.0,2.0,1.0,5.0,5.0,0.0,2.0,7.0,0.0,1.0,2.0,3.0,3.0,2.0,0.0,1.0,1.0,2.0,2.0,2.0,1.0,0.0,0.0,3.0,item_0,0,train
416,1.0,3.0,1.0,2.0,2.0,7.0,2.0,5.0,1.0,1.0,1.0,0.0,2.0,1.0,2.0,3.0,1.0,0.0,0.0,1.0,3.0,4.0,1.0,2.0,0.0,item_0,0,train
236,1.0,1.0,3.0,2.0,1.0,2.0,1.0,2.0,2.0,4.0,1.0,7.0,3.0,1.0,0.0,2.0,1.0,4.0,3.0,1.0,4.0,1.0,2.0,5.0,4.0,item_0,0,train
401,1.0,2.0,1.0,2.0,2.0,1.0,1.0,0.0,4.0,3.0,3.0,5.0,1.0,0.0,1.0,4.0,1.0,4.0,5.0,1.0,2.0,3.0,2.0,0.0,2.0,item_0,0,train
317,3.0,5.0,4.0,2.0,4.0,4.0,4.0,2.0,1.0,2.0,0.0,1.0,1.0,0.0,2.0,1.0,0.0,0.0,2.0,1.0,2.0,3.0,1.0,2.0,2.0,item_0,0,train
520,2.0,2.0,1.0,2.0,2.0,3.0,1.0,2.0,1.0,2.0,0.0,3.0,0.0,3.0,0.0,5.0,5.0,1.0,1.0,1.0,2.0,3.0,4.0,2.0,9.0,item_0,0,train
532,0.0,0.0,2.0,6.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,0.0,2.0,2.0,1.0,0.0,3.0,2.0,1.0,0.0,0.0,3.0,1.0,0.0,item_0,0,train
152,1.0,2.0,1.0,1.0,1.0,1.0,2.0,0.0,1.0,2.0,2.0,2.0,7.0,1.0,3.0,2.0,1.0,2.0,1.0,1.0,3.0,3.0,0.0,0.0,0.0,item_0,1,train
0,0.0,1.0,1.0,2.0,3.0,3.0,2.0,1.0,4.0,6.0,4.0,1.0,3.0,1.0,0.0,0.0,1.0,4.0,2.0,3.0,0.0,0.0,0.0,0.0,3.0,item_0,0,train
682,1.0,2.0,1.0,2.0,5.0,3.0,3.0,3.0,1.0,2.0,3.0,1.0,4.0,2.0,0.0,4.0,1.0,3.0,1.0,2.0,2.0,0.0,3.0,0.0,1.0,item_0,0,train
353,1.0,2.0,4.0,1.0,2.0,4.0,1.0,2.0,1.0,4.0,2.0,1.0,1.0,5.0,1.0,4.0,3.0,4.0,3.0,2.0,1.0,1.0,0.0,1.0,1.0,item_0,0,train
800,4.0,2.0,4.0,1.0,4.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,1.0,3.0,5.0,4.0,0.0,3.0,7.0,1.0,4.0,1.0,2.0,1.0,1.0,item_0,0,train
102,3.0,0.0,4.0,2.0,2.0,1.0,5.0,4.0,3.0,2.0,2.0,3.0,1.0,1.0,4.0,3.0,1.0,2.0,3.0,2.0,1.0,1.0,0.0,4.0,1.0,item_0,0,train
784,3.0,0.0,1.0,6.0,3.0,4.0,1.0,1.0,4.0,0.0,1.0,3.0,2.0,3.0,2.0,2.0,3.0,1.0,1.0,0.0,2.0,3.0,0.0,0.0,1.0,item_0,0,train
809,0.0,2.0,2.0,1.0,3.0,3.0,3.0,2.0,4.0,2.0,0.0,1.0,4.0,8.0,0.0,3.0,1.0,1.0,4.0,2.0,2.0,2.0,1.0,2.0,3.0,item_0,0,train
230,1.0,0.0,7.0,1.0,3.0,4.0,2.0,1.0,1.0,2.0,0.0,0.0,4.0,1.0,1.0,0.0,3.0,3.0,2.0,1.0,1.0,2.0,0.0,1.0,1.0,item_0,0,train
966,3.0,1.0,2.0,2.0,2.0,3.0,5.0,2.0,0.0,1.0,3.0,0.0,2.0,1.0,4.0,3.0,2.0,1.0,3.0,6.0,3.0,0.0,0.0,0.0,1.0,item_0,0,train
497,1.0,3.0,4.0,3.0,1.0,3.0,1.0,1.0,4.0,1.0,0.0,2.0,2.0,1.0,3.0,1.0,3.0,0.0,3.0,0.0,2.0,3.0,4.0,4.0,2.0,item_0,0,train
344,0.0,2.0,3.0,0.0,3.0,4.0,2.0,1.0,2.0,2.0,4.0,2.0,0.0,1.0,2.0,4.0,2.0,4.0,3.0,2.0,3.0,2.0,0.0,1.0,3.0,item_0,1,train
712,3.0,2.0,1.0,0.0,0.0,2.0,2.0,2.0,0.0,5.0,1.0,1.0,3.0,0.0,1.0,2.0,2.0,1.0,4.0,2.0,2.0,2.0,1.0,3.0,4.0,item_0,0,train
363,1.0,3.0,1.0,5.0,2.0,4.0,3.0,3.0,2.0,6.0,2.0,0.0,0.0,0.0,3.0,2.0,1.0,5.0,4.0,0.0,2.0,2.0,2.0,0.0,1.0,item_0,0,train
389,2.0,0.0,4.0,3.0,0.0,2.0,2.0,2.0,3.0,2.0,2.0,0.0,0.0,1.0,3.0,1.0,4.0,2.0,1.0,1.0,4.0,2.0,0.0,4.0,1.0,item_0,1,train
905,3.0,3.0,4.0,2.0,4.0,3.0,2.0,3.0,1.0,5.0,0.0,1.0,2.0,0.0,1.0,2.0,0.0,2.0,1.0,6.0,0.0,5.0,0.0,0.0,0.0,item_0,0,train
668,1.0,1.0,1.0,0.0,2.0,3.0,5.0,1.0,4.0,1.0,1.0,4.0,1.0,2.0,0.0,6.0,4.0,0.0,6.0,1.0,1.0,3.0,1.0,4.0,0.0,item_0,0,train
768,3.0,2.0,3.0,3.0,3.0,3.0,4.0,2.0,2.0,3.0,1.0,1.0,0.0,1.0,0.0,2.0,3.0,1.0,7.0,6.0,5.0,3.0,1.0,2.0,1.0,item_0,0,train
888,2.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,3.0,4.0,0.0,0.0,2.0,0.0,2.0,2.0,3.0,1.0,1.0,2.0,2.0,4.0,3.0,5.0,2.0,item_0,0,train
745,1.0,1.0,2.0,2.0,2.0,3.0,4.0,0.0,1.0,1.0,0.0,0.0,2.0,1.0,3.0,1.0,1.0,1.0,4.0,4.0,6.0,2.0,2.0,6.0,1.0,item_0,0,train
150,0.0,2.0,7.0,5.0,2.0,3.0,2.0,1.0,3.0,5.0,1.0,1.0,2.0,1.0,0.0,1.0,5.0,0.0,6.0,1.0,1.0,2.0,4.0,1.0,1.0,item_0,0,train
990,1.0,2.0,6.0,2.0,1.0,4.0,1.0,2.0,4.0,4.0,3.0,3.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0,3.0,3.0,2.0,3.0,item_0,0,train
446,5.0,4.0,3.0,1.0,3.0,1.0,4.0,2.0,3.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,0.0,2.0,0.0,6.0,4.0,0.0,1.0,2.0,3.0,item_0,0,train
325,1.0,2.0,0.0,0.0,2.0,3.0,2.0,2.0,1.0,1.0,0.0,2.0,4.0,1.0,1.0,2.0,0.0,1.0,2.0,0.0,2.0,2.0,0.0,2.0,2.0,item_0,0,train
749,2.0,0.0,3.0,5.0,2.0,6.0,6.0,1.0,0.0,1.0,1.0,1.0,3.0,2.0,0.0,1.0,3.0,2.0,3.0,3.0,4.0,0.0,0.0,1.0,4.0,item_0,0,train
271,0.0,3.0,1.0,3.0,2.0,0.0,1.0,3.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,3.0,1.0,2.0,3.0,5.0,2.0,3.0,2.0,2.0,item_0,0,train
130,1.0,1.0,4.0,1.0,2.0,2.0,2.0,4.0,0.0,3.0,2.0,1.0,5.0,3.0,0.0,1.0,1.0,1.0,2.0,2.0,2.0,3.0,2.0,4.0,2.0,item_0,0,train
755,0.0,4.0,0.0,1.0,3.0,3.0,1.0,1.0,0.0,0.0,2.0,1.0,3.0,0.0,5.0,1.0,1.0,6.0,2.0,5.0,1.0,1.0,2.0,1.0,0.0,item_0,0,train
620,3.0,0.0,1.0,2.0,1.0,4.0,0.0,2.0,4.0,1.0,4.0,3.0,3.0,3.0,1.0,2.0,0.0,3.0,0.0,2.0,1.0,3.0,3.0,1.0,1.0,item_0,0,train
463,5.0,2.0,1.0,2.0,2.0,2.0,3.0,1.0,2.0,2.0,3.0,3.0,4.0,1.0,2.0,1.0,0.0,0.0,2.0,1.0,2.0,2.0,1.0,3.0,3.0,item_0,0,train
537,4.0,1.0,2.0,3.0,8.0,4.0,0.0,4.0,2.0,2.0,0.0,2.0,1.0,0.0,0.0,2.0,1.0,0.0,2.0,3.0,2.0,2.0,3.0,5.0,4.0,item_0,0,train
123,0.0,7.0,3.0,3.0,2.0,1.0,2.0,1.0,0.0,3.0,1.0,2.0,4.0,0.0,0.0,1.0,1.0,0.0,4.0,4.0,4.0,0.0,0.0,2.0,1.0,item_0,0,train
370,2.0,0.0,4.0,2.0,2.0,6.0,4.0,0.0,3.0,1.0,2.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,6.0,3.0,item_0,0,train
237,5.0,1.0,0.0,3.0,5.0,0.0,3.0,0.0,1.0,2.0,3.0,2.0,1.0,0.0,1.0,2.0,0.0,3.0,2.0,0.0,1.0,4.0,1.0,0.0,1.0,item_0,0,train
945,1.0,1.0,0.0,2.0,2.0,2.0,3.0,2.0,0.0,2.0,1.0,1.0,5.0,1.0,3.0,4.0,4.0,1.0,1.0,1.0,1.0,3.0,2.0,1.0,1.0,item_0,0,train
142,3.0,1.0,3.0,1.0,0.0,4.0,2.0,3.0,0.0,3.0,1.0,1.0,2.0,3.0,1.0,1.0,1.0,6.0,3.0,4.0,1.0,1.0,3.0,1.0,0.0,item_0,0,train
595,0.0,1.0,1.0,1.0,3.0,0.0,3.0,2.0,1.0,2.0,1.0,4.0,0.0,1.0,3.0,3.0,0.0,2.0,4.0,6.0,0.0,1.0,1.0,1.0,1.0,item_0,0,train
950,0.0,4.0,2.0,2.0,0.0,5.0,0.0,2.0,1.0,3.0,0.0,0.0,2.0,0.0,0.0,3.0,3.0,1.0,2.0,6.0,0.0,0.0,2.0,2.0,2.0,item_0,0,train
711,1.0,2.0,2.0,3.0,1.0,1.0,0.0,2.0,2.0,2.0,2.0,2.0,3.0,1.0,3.0,2.0,1.0,3.0,6.0,2.0,1.0,3.0,1.0,0.0,2.0,item_0,0,train
438,1.0,0.0,4.0,2.0,1.0,1.0,2.0,0.0,3.0,2.0,3.0,2.0,1.0,0.0,2.0,5.0,0.0,6.0,0.0,0.0,3.0,1.0,1.0,4.0,1.0,item_0,0,train
973,3.0,0.0,0.0,1.0,2.0,3.0,1.0,4.0,3.0,1.0,2.0,3.0,1.0,0.0,4.0,4.0,2.0,0.0,2.0,1.0,3.0,2.0,1.0,2.0,0.0,item_0,0,train
63,1.0,1.0,1.0,2.0,4.0,4.0,6.0,0.0,1.0,1.0,1.0,3.0,1.0,1.0,6.0,2.0,0.0,2.0,3.0,6.0,1.0,1.0,0.0,0.0,2.0,item_0,0,train
980,0.0,0.0,2.0,0.0,5.0,1.0,0.0,1.0,6.0,2.0,4.0,7.0,2.0,0.0,1.0,6.0,2.0,3.0,2.0,2.0,1.0,3.0,0.0,3.0,1.0,item_0,1,train
769,1.0,2.0,0.0,2.0,6.0,2.0,5.0,1.0,3.0,1.0,2.0,1.0,4.0,1.0,7.0,5.0,1.0,2.0,1.0,3.0,3.0,6.0,1.0,1.0,2.0,item_0,0,train
654,1.0,4.0,4.0,5.0,3.0,4.0,0.0,2.0,2.0,2.0,1.0,1.0,1.0,0.0,1.0,2.0,2.0,1.0,1.0,1.0,4.0,2.0,0.0,3.0,2.0,item_0,0,train
739,2.0,2.0,2.0,0.0,2.0,3.0,3.0,0.0,5.0,2.0,1.0,4.0,2.0,1.0,1.0,3.0,2.0,3.0,2.0,4.0,4.0,4.0,2.0,4.0,3.0,item_0,0,train
448,2.0,3.0,2.0,4.0,4.0,2.0,3.0,1.0,1.0,0.0,1.0,3.0,3.0,2.0,1.0,1.0,0.0,4.0,3.0,1.0,2.0,0.0,0.0,0.0,2.0,item_0,0,train
64,2.0,1.0,2.0,2.0,3.0,4.0,1.0,3.0,2.0,1.0,4.0,1.0,0.0,4.0,0.0,2.0,0.0,5.0,2.0,5.0,1.0,5.0,2.0,1.0,2.0,item_0,0,train
12,3.0,2.0,5.0,1.0,1.0,2.0,1.0,3.0,2.0,3.0,1.0,0.0,0.0,0.0,0.0,4.0,2.0,1.0,1.0,2.0,3.0,1.0,2.0,3.0,1.0,item_0,0,train
466,1.0,2.0,2.0,3.0,4.0,3.0,5.0,6.0,5.0,1.0,0.0,1.0,0.0,0.0,3.0,3.0,0.0,2.0,0.0,0.0,2.0,3.0,2.0,7.0,2.0,item_0,0,train
256,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,2.0,1.0,2.0,0.0,1.0,4.0,3.0,0.0,1.0,2.0,1.0,2.0,2.0,0.0,1.0,item_0,0,train
374,2.0,2.0,0.0,1.0,0.0,3.0,1.0,1.0,0.0,0.0,1.0,2.0,4.0,5.0,5.0,3.0,0.0,5.0,4.0,3.0,0.0,1.0,1.0,0.0,0.0,item_0,0,train
479,3.0,3.0,2.0,1.0,2.0,4.0,2.0,5.0,3.0,2.0,3.0,2.0,1.0,0.0,0.0,2.0,5.0,2.0,3.0,2.0,0.0,1.0,0.0,0.0,1.0,item_0,0,train
49,2.0,0.0,1.0,5.0,6.0,1.0,2.0,4.0,0.0,1.0,0.0,4.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,3.0,0.0,0.0,0.0,1.0,1.0,item_0,0,train
581,0.0,0.0,2.0,3.0,7.0,1.0,3.0,1.0,0.0,2.0,0.0,4.0,7.0,1.0,1.0,1.0,2.0,3.0,4.0,2.0,1.0,1.0,2.0,1.0,2.0,item_0,0,train
121,2.0,2.0,3.0,4.0,2.0,0.0,1.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,6.0,2.0,2.0,1.0,3.0,2.0,4.0,item_0,0,train
920,1.0,3.0,2.0,0.0,2.0,3.0,1.0,1.0,1.0,2.0,1.0,4.0,0.0,2.0,1.0,1.0,0.0,3.0,4.0,2.0,0.0,2.0,4.0,3.0,3.0,item_0,0,train
560,2.0,1.0,4.0,1.0,3.0,3.0,3.0,1.0,0.0,2.0,1.0,1.0,1.0,0.0,0.0,3.0,3.0,1.0,3.0,2.0,1.0,2.0,5.0,3.0,0.0,item_0,0,train
720,3.0,3.0,2.0,4.0,2.0,2.0,1.0,3.0,5.0,1.0,3.0,1.0,3.0,1.0,0.0,3.0,4.0,1.0,5.0,1.0,2.0,3.0,1.0,0.0,5.0,item_0,0,train
342,1.0,2.0,1.0,0.0,3.0,2.0,2.0,2.0,0.0,1.0,3.0,1.0,1.0,2.0,1.0,0.0,7.0,4.0,1.0,0.0,1.0,1.0,1.0,3.0,2.0,item_0,0,train
559,3.0,1.0,3.0,2.0,5.0,0.0,1.0,4.0,1.0,1.0,5.0,2.0,2.0,1.0,4.0,1.0,2.0,0.0,3.0,1.0,1.0,3.0,0.0,5.0,1.0,item_0,0,train
202,0.0,2.0,0.0,2.0,7.0,3.0,3.0,1.0,1.0,1.0,0.0,2.0,4.0,0.0,4.0,0.0,0.0,1.0,1.0,3.0,2.0,1.0,2.0,0.0,1.0,item_0,0,train
332,0.0,1.0,1.0,1.0,2.0,0.0,1.0,3.0,2.0,3.0,4.0,1.0,0.0,0.0,1.0,1.0,2.0,6.0,2.0,1.0,0.0,2.0,3.0,4.0,0.0,item_0,0,train
875,3.0,4.0,3.0,1.0,4.0,3.0,4.0,5.0,2.0,5.0,0.0,0.0,1.0,0.0,2.0,2.0,2.0,0.0,2.0,4.0,0.0,3.0,2.0,1.0,1.0,item_0,0,train
824,2.0,1.0,2.0,2.0,0.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,2.0,1.0,0.0,2.0,2.0,1.0,4.0,4.0,2.0,3.0,0.0,5.0,3.0,item_0,0,train
291,0.0,2.0,3.0,1.0,3.0,2.0,1.0,1.0,8.0,3.0,0.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,4.0,3.0,2.0,3.0,2.0,4.0,2.0,item_0,0,train
93,5.0,4.0,4.0,2.0,2.0,0.0,5.0,1.0,4.0,1.0,1.0,3.0,0.0,0.0,3.0,1.0,2.0,1.0,3.0,3.0,1.0,4.0,2.0,0.0,0.0,item_0,0,train
675,1.0,2.0,5.0,9.0,0.0,2.0,0.0,0.0,3.0,2.0,2.0,2.0,3.0,0.0,4.0,3.0,3.0,3.0,0.0,2.0,1.0,4.0,2.0,1.0,0.0,item_0,0,train
775,2.0,2.0,1.0,2.0,3.0,2.0,0.0,2.0,3.0,4.0,3.0,2.0,1.0,0.0,1.0,1.0,6.0,1.0,4.0,3.0,3.0,1.0,4.0,3.0,2.0,item_0,0,train
185,2.0,0.0,3.0,1.0,3.0,5.0,3.0,7.0,3.0,4.0,6.0,8.0,4.0,1.0,2.0,0.0,4.0,2.0,5.0,1.0,1.0,1.0,0.0,4.0,2.0,item_0,1,train
507,1.0,1.0,1.0,0.0,2.0,0.0,3.0,2.0,1.0,2.0,1.0,0.0,2.0,2.0,1.0,5.0,3.0,2.0,3.0,2.0,0.0,0.0,0.0,2.0,3.0,item_0,0,train
136,1.0,0.0,5.0,3.0,2.0,2.0,0.0,1.0,3.0,3.0,1.0,5.0,0.0,1.0,4.0,3.0,2.0,3.0,0.0,0.0,5.0,0.0,3.0,2.0,2.0,item_0,0,train
282,2.0,0.0,1.0,4.0,1.0,4.0,0.0,2.0,2.0,2.0,0.0,1.0,3.0,1.0,1.0,0.0,2.0,1.0,2.0,5.0,1.0,1.0,4.0,2.0,1.0,item_0,0,train
178,0.0,4.0,0.0,2.0,0.0,3.0,1.0,1.0,1.0,4.0,1.0,2.0,4.0,0.0,2.0,0.0,1.0,1.0,3.0,0.0,3.0,3.0,2.0,1.0,3.0,item_0,0,train
174,1.0,2.0,4.0,3.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,3.0,0.0,0.0,1.0,1.0,0.0,1.0,3.0,1.0,2.0,2.0,10.0,4.0,item_0,0,train
464,3.0,5.0,1.0,1.0,1.0,0.0,1.0,1.0,3.0,1.0,2.0,4.0,5.0,3.0,9.0,4.0,1.0,2.0,2.0,1.0,1.0,1.0,3.0,0.0,0.0,item_0,0,train
917,4.0,1.0,4.0,3.0,0.0,4.0,2.0,4.0,3.0,0.0,0.0,1.0,3.0,2.0,2.0,3.0,2.0,0.0,1.0,1.0,1.0,0.0,0.0,2.0,1.0,item_0,0,train
678,3.0,2.0,2.0,2.0,4.0,1.0,3.0,0.0,0.0,0.0,1.0,0.0,4.0,3.0,4.0,4.0,0.0,0.0,3.0,6.0,1.0,1.0,1.0,0.0,2.0,item_0,0,train
879,3.0,0.0,2.0,4.0,2.0,1.0,1.0,5.0,3.0,4.0,0.0,4.0,2.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,3.0,3.0,2.0,2.0,2.0,item_0,0,train
991,1.0,2.0,1.0,3.0,0.0,3.0,2.0,2.0,6.0,3.0,1.0,1.0,1.0,0.0,2.0,1.0,2.0,0.0,0.0,0.0,2.0,1.0,2.0,0.0,0.0,item_0,0,train
823,2.0,1.0,2.0,3.0,1.0,1.0,5.0,0.0,2.0,1.0,4.0,1.0,2.0,2.0,4.0,1.0,0.0,3.0,5.0,3.0,3.0,4.0,1.0,1.0,0.0,item_0,0,train
273,0.0,0.0,2.0,3.0,2.0,1.0,2.0,4.0,3.0,7.0,5.0,3.0,1.0,0.0,1.0,1.0,1.0,5.0,3.0,2.0,0.0,2.0,0.0,0.0,1.0,item_0,0,train
596,2.0,1.0,2.0,2.0,2.0,0.0,2.0,3.0,0.0,2.0,1.0,0.0,2.0,1.0,2.0,2.0,3.0,2.0,0.0,0.0,0.0,1.0,2.0,5.0,1.0,item_0,0,train
234,0.0,1.0,2.0,1.0,0.0,1.0,1.0,5.0,2.0,1.0,1.0,2.0,0.0,2.0,1.0,2.0,0.0,1.0,3.0,1.0,0.0,1.0,5.0,3.0,3.0,item_0,0,train
245,4.0,1.0,2.0,1.0,4.0,3.0,2.0,4.0,2.0,1.0,1.0,1.0,1.0,0.0,3.0,4.0,2.0,2.0,5.0,1.0,1.0,5.0,6.0,4.0,0.0,item_0,0,train
311,5.0,1.0,3.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,0.0,3.0,0.0,1.0,5.0,3.0,0.0,5.0,2.0,1.0,4.0,4.0,2.0,2.0,4.0,item_0,0,train
801,2.0,2.0,1.0,2.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,5.0,2.0,1.0,4.0,2.0,2.0,1.0,2.0,1.0,1.0,item_0,0,train
766,3.0,1.0,2.0,2.0,2.0,0.0,3.0,1.0,2.0,4.0,3.0,4.0,3.0,2.0,3.0,1.0,3.0,1.0,4.0,4.0,0.0,3.0,0.0,2.0,2.0,item_0,0,train
594,1.0,0.0,3.0,2.0,3.0,3.0,1.0,0.0,0.0,1.0,5.0,1.0,4.0,1.0,3.0,4.0,2.0,1.0,1.0,1.0,4.0,2.0,4.0,3.0,4.0,item_0,0,train
455,1.0,2.0,3.0,1.0,3.0,3.0,3.0,0.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,4.0,3.0,3.0,1.0,2.0,3.0,2.0,item_0,0,train
969,3.0,4.0,3.0,5.0,2.0,3.0,3.0,3.0,3.0,3.0,0.0,4.0,2.0,0.0,0.0,1.0,1.0,0.0,5.0,3.0,0.0,3.0,2.0,1.0,3.0,item_0,0,train
681,1.0,4.0,2.0,10.0,5.0,0.0,3.0,3.0,2.0,1.0,3.0,3.0,2.0,2.0,3.0,4.0,5.0,0.0,4.0,5.0,0.0,2.0,1.0,3.0,1.0,item_0,0,train
733,3.0,3.0,2.0,5.0,1.0,2.0,3.0,3.0,1.0,2.0,1.0,1.0,4.0,1.0,1.0,4.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,0.0,item_0,0,train
218,3.0,3.0,1.0,4.0,2.0,3.0,4.0,5.0,1.0,1.0,2.0,3.0,1.0,2.0,2.0,1.0,0.0,0.0,3.0,5.0,1.0,2.0,1.0,3.0,2.0,item_0,0,train
476,0.0,3.0,5.0,5.0,3.0,0.0,4.0,1.0,0.0,4.0,0.0,3.0,2.0,2.0,1.0,2.0,4.0,3.0,7.0,1.0,2.0,6.0,1.0,2.0,4.0,item_0,0,train
717,2.0,2.0,3.0,2.0,3.0,0.0,1.0,1.0,2.0,2.0,4.0,5.0,3.0,2.0,3.0,5.0,4.0,1.0,2.0,1.0,2.0,1.0,1.0,0.0,2.0,item_0,0,train
