randomstate,svd,cholesky
22918050,9520360,9593911
10576365,10637766,39988
561456,16068905,15749186
1582996,9593911,256683
4502507,9520360,2767052
18635016,51737,23395680
22918050,45978,11870085
23395680,1326258,10576365
18006496,9627755,15749186
14290364,12000020,14061955
7937462,7631105,7937462
2914097,9593911,15717943
693208,10194157,693208
13104080,7747374,15749186
12000020,13047090,2767052
22918050,256683,22918050
693208,6752378,13104080
13206828,12127810,13414446
11235712,11387515,18335634
1326258,12127750,693208
14290364,18006496,15749186
9627755,6527740,9593911
18460392,22328546,1217100
9520360,9520360,41865
13104080,9961796,9627755
693208,12000020,11870085
10507293,3975774,3975774
2282133,8709527,13335037
20613470,2914097,20613470
13104080,12578077,693208
7631105,7631105,11387515
9961796,9961796,8755785
9593911,17347389,10507293
18692431,561456,12000020
9593911,22232,2914097
2802316,22232,6148028
23395680,7896527,6752378
1326258,11387515,11387515
18460392,7631105,6527740
9961796,6482837,8490112
22232,2866718,51738
17347389,10194157,5996153
10637766,14290364,14290364
4502507,9520360,9520360
22918050,439288,15717943
14061955,14061955,2802316
13047090,8490112,24765
9520360,12127750,256683
51737,22232,38709
6442769,14061955,12000020
18006496,30183,8306857
1162543,13047090,7740152
7937462,1326258,28194
9520360,1217100,9520360
51737,15749186,14290364
4268157,13206900,6148028
22918050,15749186,12127750
7631105,17347389,12000020
39988,22918050,9593911
10637766,1217100,14290364
12812550,18635016,9627755
30183,7631105,22328546
2914097,2914097,17347389
7747374,13104080,23395680
2914097,9593911,6442769
17347389,12000020,15749186
693208,22232,9593911
12578077,18460392,8492825
15749186,23437156,14061955
15749186,15749186,345627
693208,693208,20613470
12812550,7937462,9961796
1217100,17347389,9520360
45978,6527740,119324
13104080,10576365,9520360
18335634,4502507,2767052
2282133,8709527,9593911
45978,13047090,10637766
12000020,2914097,20613470
12127810,3236307,10576365
10576365,4268157,22918050
10637766,18635016,22328546
2282133,2802316,2802316
12000020,2866718,6567017
1217100,4502507,11387515
12127750,345627,11387515
18006496,9593911,8492825
14061955,8306857,14290364
1326258,8755785,119324
12812550,693208,12812550
14061955,14290364,8492825
22232,22232,12000020
22918050,14061955,6936382
345627,10637766,9520360
12000020,15749186,51738
22918050,4268157,14061955
7631105,10429045,39988
7937462,2914097,256683
9520360,693208,9520360
561456,18635016,18692431
6442769,18460392,6442769
51737,8709527,2767052
693208,51738,11870085
18006496,7631105,10637766
18335634,6752378,18635016
13104080,14290364,51737
22328546,15749186,18335634
22918050,9961796,13104080
7937462,51737,11614718
693208,1326258,693208
9593911,24768,9627755
18635016,6527740,13104080
9520360,4502507,18635016
9520360,5996153,345627
2914097,22328546,9627755
8492825,18460392,1217100
7791997,9520360,9520360
10576365,12000020,28187
18460392,18335634,2767052
9627755,99561,2120932
2914097,10637766,18006496
9520360,1217100,15749186
1326258,12578077,693208
14290364,9593911,345627
7631105,24765,7631105
12812550,256683,12000020
10637766,9627755,10637766
2914097,24765,13047090
10637766,51738,256683
119324,15749186,10637766
9627755,13104080,13104080
22232,22918050,6442769
23395680,9593911,6752378
6936382,5996153,39988
4502507,256683,4502507
6148028,10637766,7747374
6931356,13047090,12812550
51737,7864437,2767052
15749186,345627,345627
18335634,6931356,15749186
23437156,10576365,16101128
17347389,15749186,39988
18635016,9961796,12000020
7937462,10637766,693208
693208,12000020,22918050
18460392,2914097,1217100
2914097,22328546,99561
18460392,15749186,15749186
15749186,13047090,256683
9961796,8492825,22232
7937462,119324,1326258
12127810,14061955,14290364
12812550,9593911,119324
51737,2914097,6148028
30183,7747374,15717943
13047090,9520360,12812550
13047090,9593911,15749186
22918050,9961796,9520360
12578077,30183,7631105
9593911,2914097,9593911
23395680,23395680,2914097
8492825,693208,119324
7937462,2866718,12000020
9520360,13104080,2767052
6567017,9593911,22918050
693208,39988,119324
51737,9593911,13047090
7740152,2802316,9593911
7791997,4502507,9627755
693208,8709527,12000020
693208,45978,15749186
15749186,24765,15749186
6931356,22918050,9593911
4268157,12127750,9627755
9627755,1217100,2914097
7937462,14290364,2914097
23395680,119324,7937462
14290364,17675462,14290364
7747374,18460392,45978
16248068,8306857,12812550
2282133,13206760,10637766
15749186,17878931,2914097
1217100,2914097,10507293
18006496,8755785,7937462
10576365,18006496,18006496
23395680,12578077,9593911
345627,10194157,9593911
1326258,6442769,23395680
2866718,10637766,30183
10194157,14061955,14061955
2914097,9520360,2914097
17347389,8492825,11387515
14290364,8492825,2767052
8490112,24765,24765
3777732,8492825,1326258
22918050,561456,14061955
13104080,13104080,12000020
18006496,23395680,9627755
9520360,9520360,9520360
14290364,8709527,14290364
22918050,7937462,13206900
345627,9520360,11870085
9520360,1162543,6931356
14290364,7735333,7631105
14290364,10576365,15749186
9520360,4502507,23395680
30183,7937462,1162543
39988,2866718,693208
13206900,2914097,10637766
2914097,3777732,4502507
7791997,4502507,22918050
2802316,20613470,2914097
7631105,20613470,15749186
7864437,12127810,12127810
38709,13104080,10576365
12000020,6527740,17347389
6442769,4268157,12812550
9593911,12000020,11387515
22232,2914097,7937462
4502507,8755785,8755776
5996153,23395680,23395680
22232,24765,2802316
9460487,13047090,12812550
12000020,13414446,11870085
693208,2866718,8755776
2914097,6442769,13047090
12127810,51737,23395680
9593911,1326258,30183
18335634,8492825,17347389
14290364,7864437,14290364
10576365,23437156,22232
2866718,119324,15749186
2914097,17347389,693208
693208,12000020,2767052
12000020,14290364,39988
18335634,10637766,23395680
12812550,256683,24765
693208,20613470,14290364
17878931,10576365,2767052
24765,24765,14290364
9627755,13104080,16101128
30183,13047090,12000020
24768,10194157,9961796
22918050,13104080,7937462
7631105,11614718,10637766
12000020,9593911,15749186
693208,18635016,256683
2914097,18335634,13206900
22918050,12000020,51737
15749186,10637766,16101128
8755785,13104080,693208
23437156,18635016,9593911
12000020,8306857,30183
18335634,16101128,15749186
9593911,2866718,345627
23395680,7937462,22628
7747374,12127810,9627755
13206900,693208,693208
119324,39988,2767052
7937462,693208,693208
18006496,22232,13335037
345627,23395680,23395680
2866718,9961796,12812550
10576365,13047090,693208
14290364,13104080,6931356
12812550,12812550,15749186
13206900,4502507,15749186
14061955,45978,39988
9961796,3975774,119324
9593911,2914097,13047090
2866718,15749186,119324
12578077,9593911,9520360
10194157,23395680,51737
45978,18635016,693208
14061955,2866718,693208
12000020,20613470,9593911
17347389,22232,12000020
9520360,7631105,9520360
4268157,10576365,693208
18460392,9593911,12000020
18460392,18460392,2914097
13047090,119324,13104080
23395680,7864437,256683
23395680,693208,693208
9627755,10637766,12000020
4502877,13104080,7937462
24768,7937462,693208
9961796,14290364,2767052
9520360,4502507,9520360
18335634,5996153,11387515
15717943,18635016,18635016
4502877,7740152,7740152
24770,17347389,12812550
2914097,22232,4502877
12000020,24770,17675462
15749186,18460392,3777732
2914097,2914097,9593911
10576365,15717943,12812550
22232,2914097,14061955
18335634,9627755,10637766
22232,22232,2914097
8306857,8306857,51737
39988,7937462,1326258
10429045,18006496,16068905
693208,13047090,2914097
2866718,18460392,51738
13047090,9627755,9627755
18006496,28194,22918050
22918050,10637766,693208
15717943,22918050,30183
1326258,7937462,15749186
119324,38709,693208
22918050,22918050,9593911
2914097,18335634,4268157
12812550,20613470,2767052
22232,12000020,20613470
9520360,99561,11387515
7896527,10194157,693208
51738,18335634,7937462
2914097,14290364,9627755
9520360,13414446,13414446
9593911,18335634,345627
6482837,9593911,13206900
18460392,9520360,15745753
9627755,22328546,15749186
14290364,18006496,15749186
1326258,119324,9593911
9627755,15749186,12812550
6752378,11387515,12000020
30183,15749186,9593911
22232,6442769,1217100
14290364,6442769,39988
14290364,119324,2767052
10576365,6527740,17347389
9961796,12000020,13104080
23395680,6442769,6148028
9593911,15749186,4502877
7747374,24768,13335037
23437156,2802316,10637766
8709527,12127750,693208
9593911,15717943,4502877
23395680,13206900,15749186
2914097,2914097,693208
10576365,7735333,2767052
20613470,6442769,22232
22918050,9520360,30183
13414446,9593911,13104080
9593911,6482837,15749186
8492825,9961796,9961796
17878931,13047090,12812550
18006496,22918050,22232
10576365,17347389,14290364
2914097,22232,9593911
9520360,2866718,2767052
9520360,6931356,9520360
11387515,2914097,2914097
9961796,256683,12000020
2866718,2866718,3777732
6527740,18460392,7747374
45978,693208,9961796
8306857,5996153,12000020
6931356,10637766,256683
345627,6482837,5996153
17347389,12578077,15749186
9627755,12812550,2802316
12127750,7791997,7747374
17347389,4502507,17347389
9520360,18692431,51738
11614718,7864437,2866718
439288,15749186,13206828
12578077,4502507,2914097
12000020,9627755,13047090
4502877,14290364,4502877
693208,22232,9520360
12127810,9627755,22232
17878931,24768,9593911
22232,7937462,2914097
15749186,39988,2914097
9627755,24765,7937462
10429045,14061955,17878931
9593911,12127750,9520360
119324,51738,23395680
345627,9627755,17878931
2866718,7747374,12812550
1217100,7937462,693208
2866718,15717943,693208
51737,17347389,693208
9593911,7747374,7740152
13047090,15717943,2767052
9627755,9593911,16248068
12000020,6442769,12000020
15749186,12127810,2767052
22918050,12000020,15749186
14290364,14290364,15749186
17878931,9520360,13104080
8709527,51737,10194157
18692431,9627755,15749186
14290364,2914097,693208
17878931,9593911,2866718
8709527,13206900,345627
23437156,10637766,12000020
22918050,10637766,22918050
10637766,6936382,345627
2914097,7937462,45978
18460392,7937462,7747374
8755785,13047090,13047090
30183,8306857,9961796
9627755,693208,119324
17347389,10576365,9627755
4502507,7937462,9520360
693208,24765,693208
2866718,30183,15717943
6527740,15749186,14290364
9520360,345627,9520360
12127750,23395680,6567017
2866718,1326258,9520360
693208,693208,14290364
18006496,22918050,1326258
4502507,18635016,256683
9520360,9520360,2914097
2866718,13047090,1326258
119324,1582996,15749186
1217100,15749186,1217100
693208,9520360,693208
8306857,15749186,9593911
561456,1326258,1217100
7937462,14061955,7937462
18460392,2914097,693208
561456,7791997,7791997
7896527,9627755,22918050
17878931,7937462,7937462
9520360,4502507,2914097
6752378,18635016,10637766
24770,30183,22918050
23395680,22918050,7747374
9593911,11387515,15749186
345627,256683,693208
23395680,18635016,17347389
6442769,2914097,693208
9961796,13104080,6931356
18635016,5996153,23395680
12127810,51738,9961796
119324,14061955,10637766
7937462,8492825,10576365
9520360,9520360,693208
2914097,9520360,9593911
16068905,24768,2767052
14290364,9520360,2767052
10576365,6442769,23395680
17347389,17878931,13104080
23395680,119324,9627755
18006496,17347389,22918050
13104080,18635016,693208
15749186,15749186,12000020
9627755,1217100,15745753
99561,693208,45978
9593911,7937462,9961796
45978,51738,45978
2914097,4502507,4502877
2802316,13414446,2866718
14290364,10637766,1326258
2866718,28194,15749186
7864437,2282133,13206760
13047090,9520360,119324
23395680,10637766,51738
10637766,12000020,693208
18460392,6527740,18460392
15749186,9627755,10637766
15749186,15749186,13047090
12000020,23437156,18335634
23437156,12812550,51737
10576365,23437156,2767052
9593911,12000020,693208
14290364,4268157,9593911
18006496,18635016,51737
24768,256683,7747374
15749186,693208,15749186
11387515,17347389,23437156
10637766,12812550,2767052
119324,13414446,18460392
8709527,693208,2767052
9520360,51738,9520360
119324,51738,2767052
10637766,13104080,15749186
38709,2914097,1326258
30183,4502507,9520360
14290364,13047090,18006496
51738,9593911,22918050
9627755,9593911,7735333
51737,12812550,18635016
10637766,18635016,2914097
51737,12127810,18460392
345627,4502507,693208
23395680,24765,23395680
13206900,2866718,9520360
10576365,6442769,9520360
9520360,18006496,9520360
9593911,15749186,2767052
14290364,9593911,14290364
7631105,20613470,20613470
30183,13104080,23395680
18335634,9593911,23395680
12578077,30183,693208
24768,18460392,20613470
693208,51737,7631105
4502877,14290364,15749186
15749186,9593911,2914097
10429045,6482837,15717943
51738,15749186,15749186
2802316,345627,9520360
11387515,119324,5996153
17347389,23437156,14290364
15717943,12127810,51738
51738,15749186,11870085
17347389,18692431,7896527
6482837,18335634,11387515
7747374,9593911,9593911
18460392,13047090,2914097
15749186,12000020,10637766
12000020,13414446,12000020
23395680,15749186,4268157
7937462,30183,23395680
4268157,15749186,2767052
10576365,22918050,9961796
9593911,9593911,23437156
10576365,15749186,15749186
24768,12812550,2767052
2866718,1326258,12127750
24770,10576365,12000020
10507293,7937462,18635016
7740152,9520360,7740152
8755785,9627755,14061955
4502507,11235712,9520360
10576365,8492825,20613470
9593911,6442769,10637766
1217100,12812550,12000020
10637766,9961796,22232
9520360,345627,9593911
12000020,9593911,10194157
14061955,13104080,15749186
4502877,693208,22918050
22918050,7631105,7631105
30183,12000020,13104080
13047090,14290364,1326258
22232,18335634,18006496
119324,18335634,15749186
2914097,12000020,28187
23395680,10576365,10576365
12000020,11387515,15749186
13206900,1326258,8306857
12000020,1217100,17878931
24765,6527740,24765
22232,1326258,1326258
8492825,8492825,23395680
7937462,2914097,9520360
13414446,12812550,345627
7090447,3236307,10194157
693208,10637766,12000020
14061955,14290364,2767052
119324,17347389,17347389
22918050,22918050,2767052
17347389,17347389,1217100
17675462,15749186,15749186
693208,119324,693208
693208,693208,15749186
7740152,10637766,10637766
9520360,9520360,13414446
119324,9627755,13104080
14061955,12127810,7090447
23395680,51737,4502507
9520360,12812550,1326258
23395680,119324,23395680
22232,119324,15749186
10637766,9520360,9593911
13414446,17347389,12812550
3236307,18335634,13104080
1326258,345627,12000020
10194157,12000020,2866718
8306857,22918050,2767052
12000020,15749186,2767052
9593911,693208,2914097
16248068,1326258,11870085
24765,6527740,24765
15749186,14290364,15749186
24770,51737,12812550
12812550,9961796,13104080
18635016,39988,12000020
15749186,13047090,51737
24765,22918050,2767052
1217100,10576365,12812550
12000020,12000020,12000020
7631105,2866718,7747374
22918050,12578077,119324
10194157,1326258,693208
51737,9593911,15749186
15749186,119324,14290364
12127810,8306857,12000020
18335634,1326258,18460392
15749186,12127810,18635016
51737,30183,30183
7896527,12578077,14290364
2866718,439288,693208
7937462,12000020,12000020
14290364,9593911,14290364
9520360,9520360,9520360
7937462,17675462,2767052
24765,1326258,119324
7896527,12578077,7631105
17347389,7937462,23395680
693208,12000020,2914097
18692431,23395680,15749186
15749186,14290364,14290364
22232,22918050,693208
7740152,1326258,345627
15749186,10637766,9593911
23395680,10025305,11387515
10194157,51737,13104080
22232,9593911,9593911
51738,9593911,2767052
8709527,2866718,15749186
30183,693208,2866718
18006496,12127750,14290364
11387515,18006496,12000020
24765,2914097,39988
12000020,20613470,20613470
693208,14061955,9593911
14061955,16101128,8306857
4502507,9520360,13414446
9627755,11387515,345627
345627,18006496,11870085
119324,15749186,15749186
17675462,18460392,2282133
23437156,693208,23437156
12000020,18635016,10576365
1326258,1162543,256683
693208,6186357,2914097
17347389,8306857,18460392
24768,7735333,2767052
30183,51737,9961796
17675462,2866718,51738
693208,15749186,15749186
23437156,8709527,12000020
17878931,15749186,18635016
256683,22918050,8755785
2914097,2914097,693208
10576365,22918050,11387515
10576365,12000020,693208
6931356,13104080,2767052
13047090,119324,9520360
13047090,8492825,2866718
10576365,23395680,7631105
8492825,9593911,1217100
9593911,13104080,693208
15717943,17347389,15749186
15749186,10576365,24765
18335634,1326258,693208
6567017,6482837,6567017
17878931,22918050,8755785
23395680,16068905,9520360
8755785,9627755,39988
18692431,18692431,22328546
7791997,1162543,38709
22232,693208,4502877
7937462,9520360,9593911
22232,6442769,9520360
6567017,22232,22232
15749186,10576365,15749186
439288,345627,2866718
7631105,22918050,2914097
693208,10576365,7937462
2914097,13206900,4502877
14290364,9961796,17347389
8709527,9593911,693208
561456,3975774,9593911
24768,22232,7747374
7937462,693208,2767052
2914097,22232,10637766
14061955,9593911,24765
2866718,119324,2767052
9593911,2282133,693208
12000020,9593911,6567017
12000020,22328546,119324
12127750,18335634,12000020
119324,1326258,12000020
9627755,13104080,9627755
12812550,14290364,20613470
51738,10576365,51737
693208,9593911,23395680
12000020,9593911,12812550
4502507,9520360,15749186
23395680,9593911,7864437
12127810,9593911,2767052
8492825,8492825,6931356
9627755,10637766,17347389
2914097,2914097,6442769
256683,12812550,9593911
14061955,12127750,9593911
15749186,15749186,13414446
2914097,2914097,11614718
4268157,11387515,1217100
6527740,14290364,2866718
4502507,22918050,15749186
1326258,18335634,12000020
23395680,23395680,23395680
20613470,23437156,23437156
13206900,9593911,2282133
693208,693208,14290364
1217100,18460392,7937462
9961796,13104080,15749186
24765,13047090,11387515
4502507,10576365,6148028
12812550,6482837,12812550
12578077,11235712,693208
10576365,22232,14290364
8306857,7090447,15749186
693208,7631105,256683
1217100,17347389,9593911
6527740,9627755,23395680
13206828,39988,8306857
22918050,2914097,51737
22918050,9627755,8755785
13104080,2914097,6442769
18460392,23395680,12000020
51738,8709527,51737
18335634,12812550,13047090
256683,4502507,119324
1217100,4502507,9593911
12000020,23395680,2767052
10637766,1326258,7747374
4268157,13414446,693208
9520360,1217100,22232
22918050,13104080,8709527
17878931,20613470,20613470
30183,15749186,7937462
17878931,18006496,15749186
2866718,2866718,13206900
22918050,14290364,693208
18460392,24768,7791997
9627755,9627755,693208
9520360,9520360,119324
30183,16248068,693208
14290364,24768,12812550
18335634,7937462,2767052
14061955,14290364,15749186
2914097,22232,2914097
7747374,16143347,6936382
15717943,15749186,12000020
1326258,15749186,4502877
561456,23395680,7864437
18335634,2866718,18006496
9520360,9520360,14290364
30183,22918050,45978
4268157,1326258,2767052
12812550,9627755,11387515
22918050,4502507,51737
9593911,12812550,693208
17675462,1326258,11387515
6304335,9593911,2767052
12127750,256683,28187
15749186,18460392,10637766
15749186,12000020,14290364
9961796,4502507,8492825
11614718,13414446,10576365
12812550,15749186,15749186
15749186,17347389,15749186
13047090,13047090,15749186
17347389,22918050,9593911
22232,8306857,693208
693208,693208,2767052
9593911,10576365,9520360
9593911,693208,693208
693208,12000020,6442769
22918050,22918050,22918050
2914097,439288,6936382
22918050,22918050,2914097
15749186,10576365,10576365
15749186,13414446,18006496
10637766,8709527,13104080
8490112,30183,693208
256683,6527740,2914097
17878931,693208,9520360
1217100,9520360,10507293
15749186,18335634,10576365
693208,345627,13047090
6482837,9593911,2767052
256683,693208,693208
15749186,9627755,15749186
4502507,693208,9593911
4268157,693208,9593911
2914097,12812550,4268157
1217100,18635016,15749186
693208,22232,14061955
22918050,22918050,8755785
8755776,452306,15749186
14061955,17878931,12000020
12127810,439288,23395680
13206900,6931356,15749186
345627,2282133,9593911
6442769,18335634,2914097
18335634,14290364,18006496
17347389,5996153,2282133
9520360,51737,15749186
18335634,28194,13104080
9520360,7631105,10637766
22918050,7090447,7791997
20613470,15745753,12812550
7631105,9627755,12812550
30183,14290364,18635016
14290364,6442769,23437156
2914097,7631105,7864437
10576365,15749186,15749186
14061955,8492825,2914097
15717943,20613470,7747374
9520360,428263,15717943
12127750,14290364,4268157
7864437,39988,9593911
9593911,30183,17878931
45978,16248068,8709527
693208,22918050,18006496
7937462,7740152,693208
18006496,15717943,12812550
12812550,13206900,14290364
2914097,22918050,2914097
9593911,10025305,2767052
18335634,7937462,1217100
9520360,561456,693208
12000020,9520360,693208
15749186,22232,18006496
7631105,9520360,10576365
15749186,2866718,13047090
4268157,45978,13047090
119324,15749186,39988
9520360,1326258,9520360
1217100,2914097,9593911
256683,345627,51737
30183,345627,2866718
51738,28194,15749186
2914097,1326258,2914097
24768,24765,6931356
2866718,15749186,15749186
693208,14290364,14290364
51737,13206900,12000020
22918050,693208,14290364
2914097,7937462,4502507
22918050,13414446,14290364
345627,4502507,22918050
22918050,561456,16248068
23437156,13104080,10194157
13414446,22918050,11387515
15749186,8492825,45978
12812550,7631105,28194
9593911,13104080,15749186
9593911,345627,345627
15749186,14061955,1326258
13047090,12127750,9593911
38709,17878931,693208
9520360,13414446,9520360
3236307,119324,15749186
2802316,10576365,9627755
22918050,9520360,2767052
8755785,1326258,10576365
20613470,14290364,14290364
2914097,2914097,2914097
9593911,23437156,23395680
6442769,10576365,9520360
12000020,22918050,2767052
693208,7631105,6567017
18006496,256683,9627755
23395680,14290364,2767052
4502507,256683,9593911
9520360,13206828,693208
693208,30183,7747374
3975774,345627,8492825
23395680,18635016,15749186
7631105,8709527,22232
8492825,9627755,10637766
12812550,18335634,15717943
9961796,2914097,8490112
11387515,561456,30183
9593911,9593911,7937462
693208,14061955,14290364
14290364,12812550,15749186
1217100,18460392,345627
9627755,15749186,10637766
10576365,14061955,10637766
11387515,9593911,9627755
10576365,15717943,18460392
51737,12812550,14290364
7631105,9961796,693208
7631105,9520360,693208
15749186,3777732,17347389
7740152,49750,22918050
6527740,14061955,10637766
49041,23395680,11870085
2914097,2866718,24765
11235712,3975774,9520360
6752378,9627755,24770
1326258,16068905,11387515
7747374,2866718,7740152
4502507,9520360,4502877
12127810,12127810,38709
51737,14290364,8492825
24765,119324,693208
15749186,6527740,16101128
18692431,12127750,18692431
119324,45978,15749186
8492825,256683,9593911
10637766,15717943,7631105
22918050,10637766,9593911
7631105,7937462,4502507
22328546,2866718,12000020
45978,9593911,7090447
13104080,693208,23395680
51738,10576365,9627755
6527740,14061955,11387515
345627,22918050,7747374
51738,15749186,12000020
7631105,119324,9593911
693208,23395680,2767052
17878931,7631105,12127810
11614718,18335634,8709527
9627755,6482837,693208
2282133,18635016,9593911
15749186,15749186,15749186
16248068,22232,7937462
22232,39988,22232
9593911,7631105,2767052
1326258,24765,18335634
2914097,1217100,9593911
10194157,23395680,22232
345627,9593911,9593911
119324,1326258,15717943
23395680,7747374,17878931
18635016,9520360,9593911
7864437,14290364,6752378
22232,22232,345627
10507293,13104080,256683
9520360,1217100,12812550
22328546,51738,15749186
18335634,39988,23395680
17675462,17347389,7090447
4502877,13047090,15749186
23437156,9593911,693208
12812550,22918050,6148028
6442769,12000020,2914097
10576365,10576365,12812550
6442769,11387515,693208
9520360,30183,693208
119324,28194,24765
13104080,11387515,8306857
39988,7896527,9627755
23395680,22918050,23395680
7864437,16101128,13414446
9961796,8492825,10576365
14290364,15749186,20613470
7937462,7937462,14290364
7631105,9593911,23437156
6442769,8492825,20613470
9520360,9593911,22918050
10576365,17878931,10576365
22918050,7937462,45978
6442769,18335634,23437156
6482837,2914097,10637766
12000020,12000020,17878931
18335634,17347389,12812550
45978,7937462,693208
15749186,119324,6442769
18635016,23395680,4502877
9593911,22232,9593911
15749186,12812550,15749186
13414446,12000020,256683
22918050,11387515,8709527
8755785,14061955,22232
8709527,9593911,693208
18692431,15749186,24768
4502877,9627755,15749186
10576365,15749186,17675462
2866718,2866718,14290364
13047090,18006496,7864437
18335634,14061955,22232
7631105,1326258,2767052
23395680,18335634,9593911
8709527,23395680,9593911
22918050,13414446,7937462
119324,23395680,10637766
7090447,18460392,9593911
1217100,693208,256683
12000020,14061955,693208
7937462,9627755,9520360
18460392,15717943,2914097
9961796,51738,9627755
9593911,10194157,12000020
24768,15749186,39988
9627755,51737,12812550
12812550,12000020,13414446
51737,9961796,2914097
18006496,15749186,7747374
9961796,17347389,23395680
18006496,9961796,18006496
2866718,51737,51738
12000020,9520360,24765
22232,2282133,17347389
1217100,7631105,9520360
22918050,9593911,51737
11614718,14290364,15717943
6931356,18006496,51737
6339664,14290364,693208
14290364,11387515,345627
14290364,22918050,2767052
15749186,17347389,13414446
18635016,693208,2767052
9593911,9593911,9593911
7937462,4502507,693208
12000020,22232,12000020
561456,10576365,6567017
9520360,7631105,9520360
10637766,13206900,4502507
7631105,13206828,119324
14290364,6527740,2282133
119324,9593911,24765
10637766,22918050,7740152
12578077,10576365,15745753
10576365,6936382,8306857
13414446,452306,14290364
256683,24765,8755785
22918050,8755785,693208
17675462,99561,6442769
23395680,24768,2767052
2914097,693208,693208
9593911,11387515,7631105
9593911,6527740,24768
9520360,9593911,30183
9593911,119324,15749186
15749186,2914097,12812550
5996153,9593911,23437156
6567017,2914097,24765
4268157,14290364,18006496
2802316,10507293,693208
693208,693208,7090447
22232,2914097,9593911
9593911,4502507,11870085
9593911,4502507,693208
14290364,14290364,15749186
30183,13047090,9627755
13047090,12812550,23395680
9520360,4502507,256683
10637766,1326258,693208
8709527,2282133,8492825
14061955,12127810,45978
15749186,14061955,14290364
22328546,13104080,119324
10637766,10637766,22918050
17675462,10576365,693208
23395680,12578077,1217100
51737,1217100,9961796
9593911,4268157,6442769
2914097,8755785,30183
12000020,18335634,13104080
9627755,14061955,8755785
13047090,15749186,12000020
7791997,7937462,6931356
8709527,18460392,30183
2914097,7937462,9520360
9961796,9961796,51737
693208,2914097,51737
24770,6752378,693208
13047090,12127810,49041
4502507,7937462,2866718
1217100,1217100,11870085
13047090,9593911,13047090
7937462,9520360,4502877
693208,12127810,15717943
24768,9961796,51738
15749186,8709527,9593911
256683,13104080,693208
23395680,9593911,693208
1217100,12000020,9593911
6931356,8306857,11614718
17878931,9520360,9627755
22918050,9520360,15749186
15749186,345627,22232
9593911,14290364,18635016
9627755,15749186,51737
